X,Y,OBJECTID,ID_CICLOPARQUEDERO,CIV,CLASECICLOP,NOMBRECICLOP,SECTORCICLOP,TIPOUSUARIOCICLOP,LOCALIDAD,DIRECCIONCICLOP,HORARIOCICLOP,TIPOLOGIACICLOP,CUPOCICLOP,SELLOCICLOP,ANOCICLOP,GLOBALID
-74.055855422,4.66616149999999,215,1214,2000764,F,Centro comercial Atlantis,2,1,2,CL 80 13 06,L-D 8:00 - 22:00,8,120,1,2021,{A91A9CFB-E8EC-4C42-92A0-E244F40E91E8}
-74.106295867,4.659716688,216,1215,10009783,F,Johnson & Johnson,2,2,10,AC 26 69 76,L-V 06:00 - 20:00,8,52,1,2021,{D874D0EF-B5E6-4B16-B5F0-2D46533A218A}
-74.057780644,4.656987055,217,1216,2001080,F,Centro comercial y financiero Avenida Chile,2,1,2,CL 72 10 34,L-D 8:00 - 22:00,8,130,1,2021,{7A4DA0CB-57A6-40BA-B72E-1A311181B14E}
-74.115370095,4.632598352,218,1217,16000171,F,Centro comercial Plaza central,2,1,16,KR 65 11 50,L-D 8:00 - 22:00,8,537,1,2021,{E199E136-6897-4711-B2C1-D6B51B66A223}
-74.125091318,4.68104426500003,219,1218,9001682,F,City Parking Buro 25,2,1,9,DG 25g 95a 85,L-V 6:00 - 18:00 S 6:00 - 16:00,8,24,1,2021,{1C5662FA-C4F4-4368-86A7-B3361315C231}
-74.070664836,4.598114119,220,1219,17000147,F,City Parking Candelaria,2,1,17,CL 12c 03 32,L-S 5:30 -22:00 D-F 8:00 - 18:00,8,24,1,2021,{F72FA269-F0A8-4D98-AA43-43949C585A00}
-74.077686097,4.598114119,221,1220,17000149,F,City Parking Capuchino Plaza,2,1,17,KR 9 10 37,L-S 6:00 -22:00 D-F 7:00 - 19:00,8,24,1,2021,{C34149C2-557F-46FD-B825-48A3A968469E}
-74.051842946,4.67856654299999,222,1221,2000309,F,City Parking Calle 93,2,1,2,CL 93B 15 80,L-V 6:00 - 20:00 S 6:00 - 14:00,8,24,1,2021,{16150C5C-AE2F-4C41-ABDC-F5A935D03286}
-74.053332922,4.67957759799998,223,1222,2000280,F,City Parking Dann Carlton,2,1,2,CL 93B 19 44,L-S 6:00 -23:00 D-F 9:00 - 22:00,8,25,1,2021,{26C14DEB-8A3C-4160-9665-2ACC80E95107}
-74.070047583,4.60633130899998,224,1223,3000575,F,City Parking UNIV Central Carrera 5,2,2,3,CL 22 5 59,L-V 6:00 - 20:00 S 6:00 - 20:00 D-F 7:00 - 16:00,8,26,1,2021,{9949AC74-1537-4FC4-AE6F-04A59308AB1E}
-74.056424445,4.738862826,225,1224,11014052,F,City Parking Edimaz,2,1,11,KR 55 152B 68,L-V 5:00 -20 :00 S 7:00 - 17:00 D-F 7:00 - 17:00,8,26,1,2021,{CE39FC0A-C126-4ACC-8750-931C40D4D4D5}
-74.071673,4.61259999999999,226,1225,3000361,F,City Parking Fonade,2,1,3,KR 13 25 31,L-V 06:00 - 22:00  S 07:00 - 18:00,8,30,1,2021,{4CD03E91-429D-45B8-B31A-EF8986D5DECC}
-74.117155,4.63680999899998,227,1226,16004865,F,City Parking Calle 13,2,1,16,CL 13 66 70,L-D 24h,8,26,1,2021,{7F73390E-0D83-437A-A3BD-1927389F521F}
-74.046478,4.748266,228,1227,1001394,F,City Parking  Bodytech Autopista165,2,1,1,AK 45 166 56,L-J 05:00 - 23:00  V 05:00 - 21:00  S 07:00 - 18:*,8,26,1,2021,{D515F94A-E851-41B4-9499-CC346B90B3FB}
-74.044842,4.733766,229,1228,1002745,F,City Parking Cruz Verde Cedritos,2,1,1,AV 19 151 75,L-S 06:00 - 21:00  D 06:00 - 18:00,8,24,1,2021,{9EB2BC03-B85D-45D9-BCA2-1EDC33B00116}
-74.066085,4.72894600000001,230,1229,11014180,F,City Parking Bodytech Colina,2,1,11,CL 138 58 74,L-J 04:30 - 24:00  V 04:00 - 24:00  S 06:00 - 22:*,8,24,1,2021,{F5C31097-8CEB-4720-96C5-4DA9FD8AC86A}
-74.062838,4.75798400000002,231,1230,11000757,F,City Parking Biblioteca Julio Mario SantoDomingo,2,1,11,CL 170 67 51,L-D 08:00 - 20:00,8,65,1,2021,{8802C14C-7E00-400C-BA51-64D3E9C9C2D2}
-74.067984,4.62273199999998,232,1231,3000048,F,City Parking Olivos Candelaria,2,1,2,KR 13 34 83,L-D: 06:00 - 22:00,8,24,1,2021,{09A00D03-F8E8-459D-861C-D9CFB183638F}
-74.166406384,4.62111328100002,233,1232,8013944,F,SDIS - Centro de Desarrollo Comunitario Kennedy,1,1,8,KR 80 43 43 SUR,L-V 07:00 - 17:30,8,24,1,2021,{5460FF63-092F-4B9C-AAEB-EC01C295C988}
-74.081950405,4.62928909800002,234,1233,13001913,F,Contraloría y Lotería de Bogotá,1,1,13,KR 32a 26A 10,L-V 07:00 - 17:30,8,36,1,2021,{EC01788F-6B50-49C2-B62F-EC500ABFB5A4}
-74.076201557,4.59979566200002,235,1234,17000083,F,City parking calle 12,2,1,17,CL 12 #8-65,L-S 6:00 - 22:00 D-F 8:00 - 18:00,8,24,1,2021,{EFF03F8F-4C24-46A2-87CB-ACE6F87DD1ED}
-74.093642947,4.56909787699999,236,1235,4007321,F,City Parking 20 de Julio,2,1,4,CL 25B sur 5 87,L-D 24h,8,26,1,2021,{5A7E8B3C-6CA5-48D3-859D-3348E3798100}
-74.099878662,4.63091885599999,237,1236,16000224,F,City Parking Ortezal,2,1,16,Kr 46 20c 84,L-D 24h,8,24,1,2021,{3C4C91B4-AB19-4C44-A4AA-2157842E9D37}
-74.129863303,4.64551493099998,238,1237,8014079,F,City Parking Bazar Alzacia,2,1,8,Cl 12 B 71 D 61,L-D 24h,8,56,1,2021,{2EC0A46F-5151-41B1-BB89-C14D8DEA10B5}
